State Name,State area   ( Km^2),Year,State Population,Total Water Storage in Reservoirs(mcm),Groundwater Level(mbgl),Total Water Demand(BCM),Rain Water(mm),Population Density(per Km^2),Water Stress Index
Andhra Pradesh,"162,975",2023,"101,024,395","8,021",11.07,49.0,151.5,619.8766375,9.952877061
Andhra Pradesh,"162,975",2022,99734221,"7,539",10.97,48.5,575.5,611.9602454,8.62231321
Andhra Pradesh,"162,975",2021,98449661,"7,742",7.57,48.0,1095.7,604.0783004,8.717333751
Andhra Pradesh,"162,975",2020,97170395,"7,911",6.81,47.5,370.3,596.2288388,8.36475271
Andhra Pradesh,"162,975",2019,95896435,"7,451",11.2,47.0,790.7,588.4119343,9.092266922
Andhra Pradesh,"162,975",2018,94627763,"6,881",13.89,46.5,580,580.6274766,9.537828273
Andhra Pradesh,"162,975",2017,93364349,"7,563",10.1,46.0,740.9,572.8752815,8.425009207
Andhra Pradesh,"162,975",2016,92106281,"6,994",11.87,45.5,582.6,565.1558889,8.602796667
Andhra Pradesh,"162,975",2015,90853421,"7,785",9.61,45.0,778.8,557.4684522,7.922896856
Andhra Pradesh,"162,975",2014,89605829,"7,292",10.44,44.5,687.6,549.8133395,7.889416694
Andhra Pradesh,"162,975",2013,84590566,"6,756",7.42,44.0,1081.8,519.040135,6.841800997
Andhra Pradesh,"162,975",2012,84665533,"5,893",7.8,43.5,675.9454545,519.5001258,6.831075235
Andhra Pradesh,"162,975",2011,84580777,"6,292",8.08,43.0,723.622314,518.9800706,6.790846278
Andhra Pradesh,"162,975",2010,76210007,"7,151",5.08,42.5,737.087979,467.6177757,5.643734537
Arunachal Pradesh,"83,743",2023,1363743,"1,917",10.5,6.7,170.79,16.28485963,0.3523657216
Arunachal Pradesh,"83,743",2022,1337245,"1,799",8.56,6.6,"2,684.40",15.96843915,0.3244085882
Arunachal Pradesh,"83,743",2021,1311593,"1,823",9.2,6.5,"1,236",15.66212101,0.6194364957
Arunachal Pradesh,"83,743",2020,1383355,"1,849",8.45,6.4,2083.8,16.51905234,0.6316528688
Arunachal Pradesh,"83,743",2019,1383355,"1,733",8.2,6.3,2992.9,16.51905234,0.6180512598
Arunachal Pradesh,"83,743",2018,1383355,"1,646",9.6,6.2,"2,237.20",16.51905234,0.6293287931
Arunachal Pradesh,"83,743",2017,1383355,"1,694",10.12,6.1,2745.3,16.51905234,0.6272434106
Arunachal Pradesh,"83,743",2016,1383355,"1,562",8.99,6.0,2706.9,16.51905234,0.5999625695
Arunachal Pradesh,"83,743",2015,1383355,"1,583",6.5,5.9,2107.16125,16.51905234,0.5562026669
Arunachal Pradesh,"83,743",2014,1383355,"1,652",8.26,5.8,2403.2,16.51905234,0.5698254963
Arunachal Pradesh,"83,743",2013,1383727,"1,546",8.26,5.7,2042.9,16.5234945,0.5601563615
Arunachal Pradesh,"83,743",2012,1382611,"1,416",7.56,5.6,2107.1,16.51016801,0.5408151119
Arunachal Pradesh,"83,743",2011,1383727,"1,221",6.4,5.5,2107.1,16.5234945,0.5174440243
Arunachal Pradesh,"83,743",2010,1097968,"1,288",6.2,5.4,2107.1,13.11116153,0.4012787678
Assam,"78,438",2023,45714904,"3,909",5.91,20.0,"2,520",582.8157781,0.3372330057
Assam,"78,438",2022,44353520,"3,783",2.93,19.8,"1,793.50",565.4595987,0.3034168846
Assam,"78,438",2021,42992136,"3,658",3.05,19.6,"2,072.60",548.1034193,0.2918754322
Assam,"78,438",2020,41630752,"3,533",2.37,19.5,"2,175.96",530.7472399,0.2771760301
Assam,"78,438",2019,40269368,"3,409",2.85,19.2,"1,524.60",513.3910605,0.2666782106
Assam,"78,438",2018,38907984,"3,285",3.06,19.1,"1,905.10",496.0348811,0.2574652499
Assam,"78,438",2017,37546600,"2,921",2.72,18.8,"1,800",478.6787016,0.2427961083
Assam,"78,438",2016,36185216,"3,041",3.17,18.7,"2,818",461.3225222,0.2349793697
Assam,"78,438",2015,34823832,"2,921",2.73,18.4,"2,418.80",443.9663428,0.2204417323
Assam,"78,438",2014,33462448,"2,803",3.05,18.2,1899,426.6101634,0.2109517819
Assam,"78,438",2013,31205576,"2,691",2.89,18.0,1811.5,397.8374767,0.3773588204
Assam,"78,438",2012,31169272,"2,582",2.81,17.8,"2,067",397.3746398,0.3720979463
Assam,"78,438",2011,31205576,"2,463",2.95,17.6,2067,397.8374767,0.3694415945
Assam,"78,438",2010,26655528,"2,351",2.9,17.4,2067,339.8292664,0.3116565152
Bihar,"94,163",2023,171209868,"2,355",7.45,30.9,1104.689286,1818.228689,1.684340659
Bihar,"94,163",2022,164909057,"2,284",7.3,30.7,"1,326",1751.314816,1.606183008
Bihar,"94,163",2021,158608245,"2,213",3.93,30.5,269.3,1684.400932,1.422519956
Bihar,"94,163",2020,152307434,"2,142",5.38,30.3,"1,272.50",1617.48706,1.40111989
Bihar,"94,163",2019,146006623,"2,071",5.89,30.1,97.8,1550.573187,1.349753783
Bihar,"94,163",2018,139705811,"2,000",6.66,29.9,100.3,1483.659304,1.30571764
Bihar,"94,163",2017,133405000,"1,929",5.37,29.7,84.6,1416.745431,1.202691879
Bihar,"94,163",2016,127104188,"1,858",4.32,29.5,128.7,1349.831547,1.112008474
Bihar,"94,163",2015,120803377,"1,787",8.32,29.3,123.6,1282.917675,1.150459223
Bihar,"94,163",2014,114502566,"1,716",6.56,29.1,1061,1216.003802,1.039109527
Bihar,"94,163",2013,104099452,"1,645",6.22,28.9,1069.9,1105.523953,1.811698159
Bihar,"94,163",2012,103804737,"1,574",6.63,28.7,553,1102.394114,1.811048328
Bihar,"94,163",2011,104099452,"1,503",6.2,28.5,559,1105.523953,1.785827862
Bihar,"94,163",2010,82998509,"1,432",6.2,28.3,559,881.4344169,1.413848989
Chhattisgarh,"135,192",2023,25595218,"5,551",8.43,14.8,1142,189.3249453,0.8598271974
Chhattisgarh,"135,192",2022,25590216,"5,387",4.14,14.7,1500,189.287946,0.7739727302
Chhattisgarh,"135,192",2021,25585214,"5,223",4.32,14.6,1309.6,189.2509468,0.7715889511
